User Need ID,User Need Description,Design Input ID,Design Input Requirement,Design Output ID,Design Output Artifact,Verification Test ID,Verification Test Description,Verification Pass/Fail,Validation Test ID,Validation Test Description,Validation Pass/Fail,Risk ID,Notes
UN-001,The system shall detect falls in elderly users in real time,DI-001,The device shall detect a fall event within 2 seconds of occurrence with sensitivity >= 95%,DO-001 / DO-005,Fall detection algorithm (software module FD-CORE-001),VER-001,Algorithm unit test: sensitivity >= 95% on labeled fall dataset (n=500 events),PASS,VAL-001,Simulated use test: fall detection in representative environment with 10 users (5 falls each),PASS,RM-001,Primary safety requirement — missed fall is highest risk scenario
UN-002,The system shall minimize false alarms to avoid alert fatigue,DI-002,False positive rate shall be <= 5 per user per day in normal daily activity,DO-001 / DO-005,Fall detection algorithm — specificity tuning and activity classifier,VER-002,Algorithm unit test: specificity across ADL (Activities of Daily Living) dataset (n=1000 events),PASS,VAL-002,7-day wear study: false alarm rate measured in home environment (n=20 users),PASS,RM-002,Alert fatigue reduces caregiver response compliance
UN-003,The system shall alert caregivers within 60 seconds of fall detection,DI-003,Alert notification shall be delivered to caregiver app <= 60 seconds from fall event detection,DO-002 / DO-003,Alert pipeline: device firmware -> cloud -> caregiver app push notification,VER-003,End-to-end latency test: 100 simulated fall events — all alerts < 60s,PASS,VAL-003,Usability study: caregiver receives and acts on alert within acceptance time (n=15 caregivers),PASS,RM-003,Delayed alert negates clinical benefit
UN-004,The system shall operate continuously for >= 7 days without charging,DI-004,Device battery life shall be >= 7 days in normal operation at 25 degrees C,DO-002 / DO-006,Power management hardware design and firmware power modes,VER-004,Battery life bench test: continuous operation until discharge (3 units),PASS,VAL-004,Field simulation: 10-day continuous wear test (n=5 units),PASS,RM-004,Battery failure leaves user unprotected
UN-005,The system shall be worn comfortably by elderly users with limited dexterity,DI-005,Device weight shall be <= 30g. Donning/doffing shall be completable by >= 90% of target users without assistance,DO-006,Mechanical design — wrist-worn enclosure and strap,VER-005,Weight measurement (pass if <= 30g); dimensional inspection,PASS,VAL-005,Human factors study: 15 elderly users (65+ years) attempt donning/doffing — >= 90% success criterion,PASS,RM-005,Unwearable device provides no protection
UN-006,The system shall protect user health data per applicable privacy regulations,DI-006,All personal health data shall be encrypted in transit (TLS 1.3) and at rest (AES-256). Device shall comply with HIPAA Security Rule,DO-003 / DO-005,Software security architecture — encryption modules and data handling,VER-006,Security code review and penetration test report; encryption verification test,PASS,VAL-006,Security validation: HIPAA compliance audit by independent reviewer,PASS,RM-006,Data breach — regulatory and reputational risk
UN-007,The system shall be safe for use by elderly users with common comorbidities,DI-007,Device shall meet IEC 60601-1 general safety requirements. No single fault shall result in patient harm,DO-002 / DO-007,Hardware safety design — electrical isolation and material biocompatibility,VER-007,Electrical safety testing per IEC 60601-1 (dielectric strength and leakage current); biocompatibility testing per ISO 10993,PASS,VAL-007,Simulated use safety evaluation: no safety incidents across all validation use scenarios,PASS,RM-007,Electrical shock or skin irritation risk
UN-008,The system shall provide reliable location information to facilitate emergency response,DI-008,Device shall report GPS location with accuracy <= 10m outdoors and communicate last-known location indoors,DO-001 / DO-002 / DO-003,GPS module integration and fallback indoor location (BLE/WiFi),VER-008,GPS accuracy test: 50 outdoor locations — >= 95% within 10m; indoor fallback test,PASS,VAL-008,Simulated emergency response drill: caregiver locates device using app (n=10 scenarios),PASS,RM-008,Inaccurate location delays emergency response
UN-009,Caregivers shall receive useful status information about the device and user,DI-009,Caregiver app shall display device battery level, wear status, and fall event history updated every 15 minutes,DO-003 / DO-005,Caregiver mobile application — status dashboard,VER-009,App functional test: battery level accuracy +/-5%; status update latency <= 15 min; fall history completeness,PASS,VAL-009,Usability study: caregivers rate information utility and comprehension (SUS score >= 70),PASS,RM-009,Uninformed caregiver cannot respond effectively
UN-010,The system shall withstand typical environmental conditions for elderly users,DI-010,Device shall be rated IP67 (dust-tight and immersion to 1m for 30 min). Operating temperature: 0 to 45 degrees C,DO-002 / DO-006,Environmental sealing design — enclosure gaskets and material selection,VER-010,IP67 ingress protection test per IEC 60529 (3 units); temperature cycling test per IEC 60068-2,PASS,VAL-010,Environmental stress validation: shower simulation (n=3 units) and temperature soak,PASS,RM-010,Water ingress during bathing/showering causes device failure
